#Date/Time of Update: 2016-10-04 2:55:50 PM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#Wins,#Losses,#WinPct,#GB
,109,HOU,Houston,Rockets,15,82,4314,52.6,2216,27.0,51.4,2533,30.9,878,10.7,34.7,6847,83.5,3094,37.7,45.2,2407,29.4,1671,20.4,69.4,1571,19.2,2787,34.0,4358,53.1,1821,22.2,8737,106.5,1250,15.2,821,10.0,430,5.2,404,4.9,8721,106.4,1865,22.7,1782,21.7,83,1.0,16,0.2,41,41,0.500,0.0
,108,DAL,Dallas,Mavericks,16,82,4558,55.6,2258,27.5,49.5,2342,28.6,806,9.8,34.4,6900,84.1,3064,37.4,44.4,1831,22.3,1454,17.7,79.4,1165,14.2,2952,36.0,4117,50.2,1813,22.1,8388,102.3,1011,12.3,560,6.8,306,3.7,363,4.4,8413,102.6,1667,20.3,1591,19.4,76,0.9,-25,-0.3,42,40,0.512,0.0
,94,WAS,Washington,Wizards,17,82,5050,61.6,2529,30.8,50.1,1983,24.2,709,8.6,35.8,7033,85.8,3238,39.5,46.0,1849,22.5,1349,16.5,73.0,1272,15.5,2889,35.2,4161,50.7,2005,24.5,8534,104.1,1137,13.9,708,8.6,323,3.9,356,4.3,8575,104.6,1763,21.5,1708,20.8,55,0.7,-41,-0.5,41,41,0.500,0.0
,89,CHI,Chicago,Bulls,18,82,5417,66.1,2514,30.7,46.4,1753,21.4,651,7.9,37.1,7170,87.4,3165,38.6,44.1,1720,21.0,1354,16.5,78.7,1407,17.2,3098,37.8,4505,54.9,1870,22.8,8335,101.6,1092,13.3,495,6.0,470,5.7,465,5.7,8456,103.1,1590,19.4,1545,18.8,45,0.5,-121,-1.5,42,40,0.512,0.0
,95,ORL,Orlando,Magic,19,82,5302,64.7,2606,31.8,49.2,1818,22.2,636,7.8,35.0,7120,86.8,3242,39.5,45.5,1649,20.1,1249,15.2,75.7,1308,16.0,2865,34.9,4173,50.9,1933,23.6,8369,102.1,1114,13.6,673,8.2,417,5.1,448,5.5,8502,103.7,1752,21.4,1700,20.7,52,0.6,-133,-1.6,35,47,0.427,0.0
,107,MEM,Memphis,Grizzlies,20,82,5338,65.1,2515,30.7,47.1,1521,18.5,504,6.1,33.1,6859,83.6,3019,36.8,44.0,2024,24.7,1584,19.3,78.3,1426,17.4,2662,32.5,4088,49.9,1697,20.7,8126,99.1,1040,12.7,724,8.8,350,4.3,469,5.7,8310,101.3,1844,22.5,1777,21.7,67,0.8,-184,-2.2,42,40,0.512,0.0
,103,SAC,Sacramento,Kings,21,82,5244,64.0,2623,32.0,50.0,1839,22.4,660,8.0,35.9,7083,86.4,3283,40.0,46.4,2089,25.5,1514,18.5,72.5,1441,17.6,2936,35.8,4377,53.4,2009,24.5,8740,106.6,1273,15.5,733,8.9,368,4.5,437,5.3,8943,109.1,1746,21.3,1674,20.4,72,0.9,-203,-2.5,33,49,0.402,0.0
,83,NYK,New York,Knicks,22,82,5124,62.5,2412,29.4,47.1,1762,21.5,610,7.4,34.6,6886,84.0,3022,36.9,43.9,1753,21.4,1411,17.2,80.5,1298,15.8,2983,36.4,4281,52.2,1682,20.5,8065,98.4,1038,12.7,467,5.7,466,5.7,343,4.2,8289,101.1,1677,20.5,1610,19.6,67,0.8,-224,-2.7,32,50,0.390,0.0
,99,DEN,Denver,Nuggets,23,82,5060,61.7,2437,29.7,48.2,1943,23.7,656,8.0,33.8,7003,85.4,3093,37.7,44.2,1974,24.1,1513,18.5,76.6,1485,18.1,2892,35.3,4378,53.4,1858,22.7,8355,101.9,1162,14.2,609,7.4,395,4.8,517,6.3,8609,105.0,1768,21.6,1713,20.9,55,0.7,-254,-3.1,33,49,0.402,0.0
,100,MIN,Minnesota,Timberwolves,24,82,5321,64.9,2640,32.2,49.6,1347,16.4,455,5.5,33.8,6668,81.3,3095,37.7,46.4,2213,27.0,1753,21.4,79.2,1294,15.8,2748,33.5,4042,49.3,1916,23.4,8398,102.4,1177,14.4,656,8.0,375,4.6,427,5.2,8688,106.0,1735,21.2,1692,20.6,43,0.5,-290,-3.5,29,53,0.354,0.0
,110,NOP,New Orleans,Pelicans,25,82,5089,62.1,2451,29.9,48.2,1951,23.8,702,8.6,36.0,7040,85.9,3153,38.5,44.8,1823,22.2,1415,17.3,77.6,1235,15.1,2893,35.3,4129,50.4,1818,22.2,8423,102.7,1069,13.0,633,7.7,342,4.2,423,5.2,8734,106.5,1758,21.4,1708,20.8,50,0.6,-311,-3.8,30,52,0.366,0.0
,90,MIL,Milwaukee,Bucks,26,82,5463,66.6,2705,33.0,49.5,1277,15.6,440,5.4,34.5,6740,82.2,3145,38.4,46.7,1863,22.7,1392,17.0,74.7,1323,16.1,2717,33.1,4040,49.3,1895,23.1,8122,99.0,1200,14.6,672,8.2,475,5.8,462,5.6,8465,103.2,1763,21.5,1688,20.6,75,0.9,-343,-4.2,33,49,0.402,0.0
,104,PHX,Phoenix,Suns,27,82,4900,59.8,2313,28.2,47.2,2118,25.8,738,9.0,34.8,7018,85.6,3051,37.2,43.5,1905,23.2,1431,17.5,75.1,1479,18.0,2886,35.2,4365,53.2,1701,20.7,8271,100.9,1358,16.6,632,7.7,313,3.8,449,5.5,8817,107.5,1926,23.5,1859,22.7,67,0.8,-546,-6.7,23,59,0.280,0.0
,84,BRO,Brooklyn,Nets,28,82,5412,66.0,2605,31.8,48.1,1508,18.4,531,6.5,35.2,6920,84.4,3136,38.2,45.3,1699,20.7,1286,15.7,75.7,1324,16.1,2754,33.6,4078,49.7,1829,22.3,8089,98.6,1173,14.3,627,7.6,332,4.0,430,5.2,8692,106.0,1511,18.4,1472,18.0,39,0.5,-603,-7.4,21,61,0.256,0.0
,105,LAL,Los Angeles,Lakers,29,82,4940,60.2,2241,27.3,45.4,2016,24.6,639,7.8,31.7,6956,84.8,2880,35.1,41.4,2028,24.7,1583,19.3,78.1,1399,17.1,2832,34.5,4231,51.6,1478,18.0,7982,97.3,1066,13.0,593,7.2,337,4.1,458,5.6,8766,106.9,1697,20.7,1663,20.3,34,0.4,-784,-9.6,17,65,0.207,0.0
,85,PHI,Philadelphia,76ers,30,82,4632,56.5,2206,26.9,47.6,2255,27.5,764,9.3,33.9,6887,84.0,2970,36.2,43.1,1850,22.6,1284,15.7,69.4,1319,16.1,2771,33.8,4091,49.9,1765,21.5,7988,97.4,1279,15.6,680,8.3,495,6.0,466,5.7,8827,107.6,1813,22.1,1778,21.7,35,0.4,-839,-10.2,10,72,0.122,0.0
